Community,Community_area,Pop_total,Asian,Black,Latino,White,Other,Education_total,Some_college,College_or_higher,Poverty_total,Below_poverty,Index_crimes
Albany Park,14,53897,6710,2177,28257,15844,909,34748,7367,9203,52900,11305,933
Archer Heights,57,13434,212,212,9932,3002,76,7745,1605,727,13352,1854,507
Armour Square,34,13710,9179,1680,644,1537,670,9807,1274,2055,13710,5147,620
Ashburn,70,42788,121,22047,13148,7152,320,26737,9188,5184,42262,5240,1101
Auburn Gresham,71,49634,77,48680,484,135,258,30817,11066,3763,49378,14872,2921
Austin,25,98162,351,83844,8756,4463,748,61288,17983,6789,97028,29702,5360
Avalon Park,45,9617,34,9296,29,168,90,6954,2916,1627,9512,1784,620
Avondale,21,41542,1289,1110,27177,11010,956,26905,5598,5716,41433,7019,1074
Belmont Cragin,19,77885,993,3822,59975,11897,1198,46082,9671,4912,77540,15765,1953
Beverly,72,21226,61,7366,1092,12358,349,13940,3765,7683,21211,950,388
Bridgeport,60,32430,10772,635,9264,10761,998,21448,4661,5067,32396,6587,740
Brighton Park,58,44148,2718,568,37203,3625,34,24124,3656,2140,43782,11226,1026
Burnside,47,3508,0,3488,0,20,0,2035,869,189,3508,1668,150
Calumet Heights,48,14382,14,13487,601,195,85,10253,4151,2915,14352,2013,693
Chatham,44,33244,23,32416,158,178,469,22356,8181,4974,33097,9642,2615
Chicago Lawn,66,54807,439,29311,22881,1900,276,30301,8128,2766,54528,17070,2373
Clearing,64,22716,184,121,10460,11775,176,15296,4336,2599,22702,2045,407
Douglas,35,19111,2335,13699,570,2271,236,12459,3581,4848,16603,5361,970
Dunning,17,42115,1617,426,9706,29975,391,30515,8254,7314,41996,4105,567
East Garfield Park,27,21316,92,20043,368,662,151,11527,3577,1657,20918,9499,1545
East Side,52,23517,101,636,18602,4091,87,13997,2983,1725,23480,5639,450
Edgewater,77,55333,6733,8114,9019,29573,1894,41943,9748,22874,52996,9882,999
Edison Park,9,11135,242,0,500,10265,128,8242,2601,3464,11135,330,76
Englewood,68,28824,13,28076,275,170,290,16330,5588,882,28590,13660,2498
Forest Glen,12,18542,2207,300,2408,13354,273,12767,2814,7206,18542,1267,192
Fuller Park,37,2924,11,2678,158,66,11,1749,499,211,2924,1203,339
Gage Park,63,39492,400,1745,35456,1872,19,21158,3100,1407,39211,9529,989
Garfield Ridge,56,33940,633,1964,13184,17958,201,23380,6475,4402,33811,2866,711
Grand Boulevard,38,23151,60,21091,698,944,358,14890,5062,3932,22761,7010,1318
Greater Grand Crossing,69,32873,25,31659,451,324,414,20367,7976,3613,32395,11061,2328
Hegewisch,55,10168,17,933,5169,3977,72,6503,1981,1251,10062,1869,237
Hermosa,20,25068,111,196,22612,1974,175,14747,3055,1078,25046,4995,534
Humboldt Park,23,54351,147,22680,27823,3009,692,31709,7432,3419,53973,18503,2529
Hyde Park,41,26541,2847,8851,1578,12446,819,17610,3132,12243,23930,4956,772
Irving Park,16,56513,4004,1668,25449,24229,1163,38872,9096,12656,56150,8080,1282
Jefferson Park,11,26771,2518,369,5343,18075,466,18827,5515,5517,26678,1871,514
Kenwood,39,18180,1065,12840,749,3159,367,12666,3208,6140,17917,4318,685
Lake View,6,96539,6661,3567,7268,77037,2006,72670,9934,56461,96353,11256,2993
Lincoln Park,7,64631,3712,2731,4238,52663,1287,44220,4447,36348,61618,7529,2384
Lincoln Square,4,38622,4015,1764,7483,24332,1028,30006,5898,16315,38135,4633,765
Logan Square,22,73786,2061,4710,35140,30665,1210,51108,9070,22628,73411,15065,2563
Loop,32,26363,4362,3139,1452,16716,694,19406,2405,15299,23559,3414,4038
Lower West Side,31,36577,367,1175,30053,4562,420,22500,3869,4002,36565,9983,1034
McKinley Park,59,16434,2641,489,10192,2978,134,10320,1799,1463,16434,3291,467
Montclare,18,12401,552,524,6408,4780,137,8352,2263,1519,12204,1622,219
Morgan Park,75,22681,124,14511,519,7175,352,15406,5564,4950,22290,3385,823
Mount Greenwood,74,18475,169,937,937,16318,114,11933,4007,3841,17950,536,231
Near North Side,8,80516,8731,7625,4491,57777,1892,66874,9871,51181,78942,10677,4685
Near South Side,33,20245,3692,5585,1260,9143,565,16211,2528,10896,20061,2525,821
Near West Side,28,54151,7976,17319,4795,22669,1392,37589,6492,23096,51578,12999,3844
New City,61,42107,563,12647,22513,5783,601,22896,4753,1747,41778,13669,2005
North Center,5,33418,1392,473,4376,26348,829,24963,3734,17008,33388,2125,795
North Lawndale,29,36074,72,33151,1800,797,254,19318,5269,1911,35476,16075,2567
North Park,13,18739,5178,314,3428,9358,461,12674,3304,5350,18260,2274,451
Norwood Park,10,37429,1706,311,4935,30115,362,27459,8230,8559,36911,1938,470
O'Hare,76,13687,1158,200,1878,10087,364,10217,2828,3050,13687,2416,232
Oakland,36,6260,57,5769,229,180,25,3902,1447,960,6233,2530,564
Portage Park,15,63619,2715,811,26388,32429,1276,43619,11896,9893,63447,8609,1372
Pullman,50,7262,39,6131,549,522,21,4944,2083,1000,7249,1824,461
Riverdale,54,6820,0,6678,136,0,6,3079,1014,238,6793,3962,388
Rogers Park,1,57559,3876,15662,14280,21819,1922,37621,8856,15195,55080,14833,1377
Roseland,49,45285,217,43581,357,503,627,29655,11013,5102,44569,10390,2518
South Chicago,46,29458,86,21206,6962,927,277,18358,5797,2765,29403,9884,1655
South Deering,51,16445,49,10022,5198,891,285,10355,3457,1255,16438,5211,879
South Lawndale,30,70557,115,7856,59370,3065,151,39881,5413,2320,62100,20422,1814
South Shore,43,47526,85,44885,685,717,1154,31380,11900,7147,46731,14242,3385
Uptown,3,54995,6402,11062,7010,28769,1752,43905,8953,22831,53601,13483,1371
Washington Heights,73,26021,2,25390,189,257,183,17898,6511,3203,25707,5109,1213
Washington Park,40,11146,9,10882,132,20,103,6233,1904,931,11078,4899,1078
West Elsdon,62,18980,322,405,14811,3370,72,11410,2309,1378,18901,3393,404
West Englewood,67,35294,41,33477,904,429,443,20619,6748,1423,35088,13971,2566
West Garfield Park,26,19377,18,18764,240,274,81,10231,2972,720,19268,8432,1429
West Lawn,65,32950,95,1041,26078,5514,222,19424,4362,1761,32880,5709,1083
West Pullman,53,30810,0,28797,1388,390,235,18581,6758,2743,30605,9213,1497
West Ridge,2,73705,17078,7683,15260,31779,1905,48008,11042,17178,72693,14484,1384
West Town,24,84087,3310,7106,24074,48007,1590,62284,9719,37146,83726,14326,4049
Woodlawn,42,24445,544,21283,543,1675,400,15403,5234,3819,23433,7576,1406
